NEIGHBORHOOD,ZIP_CODE,PROP_TYPE,SQUARE_FEET,LOT_SIZE,NO_BEDROOMS,TOTAL_BATHS,TOTAL_PARKING_RN,FURNISHED_RN,PETS_ALLOWED_RN,SEC_DEPOSIT_RN,TERM_OF_RENTAL_RN,RENT_FEE_INCLUDES_RN,RENTAL_TERMS_RN,LIST_PRICE,Predicted_Rent
nan,2648,SF,1370,26136.0,2,2,0,nan,nan,nan,nan,nan,nan,1150000.0,5557.8372003711775
nan,2649,SF,2275,17729.0,3,2,0,nan,nan,nan,nan,nan,nan,775000.0,5502.041425111201
nan,2346,SF,1391,8276.0,3,2,0,nan,nan,nan,nan,nan,nan,299000.0,5519.193986899128
nan,2536,SF,1344,7200.0,3,2,0,nan,nan,nan,nan,nan,nan,499000.0,5484.458840523603
nan,2673,CC,1246,,2,3,0,nan,nan,nan,nan,nan,nan,379900.0,4980.649717129956
nan,2673,CC,1080,0.0,2,2,0,nan,nan,nan,nan,nan,nan,339000.0,4847.261012136363
nan,2360,CC,1150,261360.0,2,2,0,nan,nan,nan,nan,nan,nan,425000.0,5408.430144463006
nan,2360,CC,895,,2,1,0,nan,nan,nan,nan,nan,nan,249900.0,3548.604732520774
nan,2324,SF,2054,155255.0,4,3,0,nan,nan,nan,nan,nan,nan,699900.0,5996.342955598317
nan,2370,CC,2114,,2,2,0,nan,nan,nan,nan,nan,nan,479900.0,4870.670694252048
nan,2191,SF,960,3506.0,2,1,0,nan,nan,nan,nan,nan,nan,600000.0,3836.5576754383137
nan,2043,SF,1036,5114.0,3,1,0,nan,nan,nan,nan,nan,nan,799000.0,4323.826964239061
nan,2738,SF,820,9834.0,1,1,0,nan,nan,nan,nan,nan,nan,1099900.0,3832.8706687805643
nan,2190,CC,900,,1,1,0,nan,nan,nan,nan,nan,nan,315000.0,3390.3097327589694
nan,2045,SF,2370,7806.0,3,3,0,nan,nan,nan,nan,nan,nan,639000.0,7248.828837184195
nan,2045,CC,1211,,2,2,0,nan,nan,nan,nan,nan,nan,470000.0,5031.245064235787
nan,2050,SF,2350,24200.0,5,4,0,nan,nan,nan,nan,nan,nan,799900.0,7696.715229930299
nan,2333,CC,824,,1,1,0,nan,nan,nan,nan,nan,nan,349900.0,3375.0464828056806
nan,2333,SF,768,22500.0,2,1,0,nan,nan,nan,nan,nan,nan,409900.0,3980.537786809371
nan,2375,SF,1280,29400.0,3,1,0,nan,nan,nan,nan,nan,nan,549800.0,4108.000757491228
nan,2370,CC,933,194713.0,2,1,0,nan,nan,nan,nan,nan,nan,267900.0,4001.6865541135867
nan,2360,SF,1027,14810.0,2,1,0,nan,nan,nan,nan,nan,nan,380000.0,4005.110639320298
nan,2370,CC,1200,17616.0,3,2,0,nan,nan,nan,nan,nan,nan,454900.0,5480.76137703413
nan,2370,SF,1172,7400.0,3,1,0,nan,nan,nan,nan,nan,nan,488000.0,4075.346786578883
nan,2364,SF,1785,19700.0,3,2,0,nan,nan,nan,nan,nan,nan,650000.0,5605.457375551119
nan,2703,MF,2178,12700.0,4,3,0,nan,nan,nan,nan,nan,nan,549900.0,6053.634970503263
nan,2360,CC,1744,,2,2,0,nan,nan,nan,nan,nan,nan,929000.0,4874.546749040631
nan,2066,SF,3535,40191.0,4,4,0,nan,nan,nan,nan,nan,nan,1325000.0,7601.291481204014
nan,2338,CC,1375,,2,2,0,nan,nan,nan,nan,nan,nan,352000.0,4920.752058287935
nan,2301,SF,2036,10001.0,4,3,0,nan,nan,nan,nan,nan,nan,625000.0,5995.084442201212
nan,2719,SF,1000,6791.0,3,1,0,nan,nan,nan,nan,nan,nan,449000.0,3978.432714818347
Onset,2558,SF,798,10000.0,2,1,0,nan,nan,nan,nan,nan,nan,365000.0,
Clark Estates/near Pine Hills,2360,SF,2662,40036.0,4,3,0,nan,nan,nan,nan,nan,nan,899999.0,
nan,2364,SF,1976,58370.0,3,3,0,nan,nan,nan,nan,nan,nan,749900.0,5653.109809415369
nan,2360,SF,1478,10890.0,2,1,0,nan,nan,nan,nan,nan,nan,450000.0,4145.2166833636165
nan,2360,SF,2054,63123.0,3,2,0,nan,nan,nan,nan,nan,nan,699900.0,5561.480197309589
nan,2360,SF,1050,18295.0,3,1,0,nan,nan,nan,nan,nan,nan,625000.0,4090.605191012922
nan,2360,SF,696,7841.0,2,1,0,nan,nan,nan,nan,nan,nan,385000.0,3968.4070495921424
nan,2382,MF,2808,7501.0,4,4,0,nan,nan,nan,nan,nan,nan,749990.0,5934.8330420655475
nan,1752,SF,2325,13371.0,4,2,0,nan,nan,nan,nan,nan,nan,650000.0,6462.729267137278
nan,1545,SF,1963,25265.0,4,2,0,nan,nan,nan,nan,nan,nan,689900.0,6490.6117038200455
nan,2050,SF,2590,47916.0,3,3,0,nan,nan,nan,nan,nan,nan,849000.0,7512.150227477214
Rock Landing,2649,SF,4300,0.21,3,5,0,nan,nan,nan,nan,nan,nan,3650000.0,
nan,2045,MF,1715,5049.0,4,3,0,nan,nan,nan,nan,nan,nan,599000.0,6507.062902522183
nan,2066,SF,1404,16248.0,3,1,0,nan,nan,nan,nan,nan,nan,629000.0,4623.438230702013
nan,2760,SF,892,3160.0,3,1,0,nan,nan,nan,nan,nan,nan,410000.0,3890.915325530847
nan,2360,SF,1344,20000.0,3,2,0,nan,nan,nan,nan,nan,nan,429999.0,5630.5628619568415
Indian Pond Estates,2364,SF,3254,40001.0,4,3,0,nan,nan,nan,nan,nan,nan,899000.0,
Indian Heights Beach Association,2538,SF,2096,10000.0,4,3,0,nan,nan,nan,nan,nan,nan,599000.0,
nan,2367,SF,3398,818928.0,5,3,0,nan,nan,nan,nan,nan,nan,899999.0,6176.912731503327
nan,2360,SF,1404,28275.0,3,1,0,nan,nan,nan,nan,nan,nan,499900.0,4183.443684385624
nan,2536,SF,2035,19402.0,4,2,0,nan,nan,nan,nan,nan,nan,875000.0,5631.56482423137
nan,2149,CC,631,,1,1,0,nan,nan,nan,nan,nan,nan,369900.0,3348.6341827993833
Indian Mound Beach,2532,SF,824,4791.0,2,1,0,nan,nan,nan,nan,nan,nan,365000.0,
Woodland Park,2760,SF,2448,15972.0,4,3,0,nan,nan,nan,nan,nan,nan,689900.0,
nan,2540,SF,1375,7854.0,4,2,0,nan,nan,nan,nan,nan,nan,650000.0,5564.110272526703
nan,2649,SF,1104,22869.0,3,2,0,nan,nan,nan,nan,nan,nan,549900.0,5467.441117494792
nan,2630,SF,840,3920.0,3,1,0,nan,nan,nan,nan,nan,nan,699900.0,3937.816046998889
nan,2571,CC,882,,2,1,0,nan,nan,nan,nan,nan,nan,300000.0,3539.1288534822634
nan,2648,SF,1311,20908.0,3,2,0,nan,nan,nan,nan,nan,nan,409900.0,5622.255317771509
nan,2673,SF,1784,15682.0,3,2,0,nan,nan,nan,nan,nan,nan,549000.0,5595.98149651261
nan,2532,SF,1144,15987.0,3,2,0,nan,nan,nan,nan,nan,nan,549900.0,5468.462962376145
nan,2664,SF,1138,10019.0,4,2,0,nan,nan,nan,nan,nan,nan,565000.0,5519.205474649448
nan,2639,CC,396,,1,1,0,nan,nan,nan,nan,nan,nan,419900.0,2715.62356659563
nan,2638,SF,3380,40005.0,4,4,0,nan,nan,nan,nan,nan,nan,1995000.0,6138.488248740892
nan,2648,SF,2794,16988.0,3,3,0,nan,nan,nan,nan,nan,nan,899900.0,5691.839287987372
nan,2632,CC,1206,,2,2,0,nan,nan,nan,nan,nan,nan,379000.0,4838.240630406568
nan,2649,SF,1900,42340.0,4,2,0,nan,nan,nan,nan,nan,nan,699000.0,5646.348481647085
nan,2791,SF,2956,14534.0,4,3,0,nan,nan,nan,nan,nan,nan,1299000.0,6098.077552924903
nan,2632,SF,1202,14810.0,3,2,0,nan,nan,nan,nan,nan,nan,549000.0,5474.076139345035
nan,2639,CC,523,,1,1,0,nan,nan,nan,nan,nan,nan,399900.0,3210.569232565463
nan,2660,SF,1386,12196.0,3,2,0,nan,nan,nan,nan,nan,nan,675000.0,5612.661336875126
nan,2536,CC,1343,,2,4,0,nan,nan,nan,nan,nan,nan,499000.0,5080.882317574253
nan,2169,SF,1147,3509.0,3,2,0,nan,nan,nan,nan,nan,nan,599900.0,5195.906547800546
nan,2660,SF,988,7800.0,3,1,0,nan,nan,nan,nan,nan,nan,395000.0,4051.0988618047736
nan,2675,CC,1302,,2,3,0,nan,nan,nan,nan,nan,nan,725000.0,5044.921443420417
nan,2748,SF,1446,8712.0,3,2,0,nan,nan,nan,nan,nan,nan,749000.0,5506.595425159413
nan,2748,SF,1423,115870.0,3,1,0,nan,nan,nan,nan,nan,nan,895000.0,4175.640493240811
nan,2748,SF,1064,19166.0,3,1,0,nan,nan,nan,nan,nan,nan,649500.0,4074.0435072484393
nan,2748,SF,1306,604177.0,3,2,0,nan,nan,nan,nan,nan,nan,2295000.0,5622.906160783854
nan,2532,SF,1000,6708.0,2,1,0,nan,nan,nan,nan,nan,nan,515000.0,3903.4663490733824
nan,2717,SF,795,69696.0,2,1,0,nan,nan,nan,nan,nan,nan,369900.0,3982.581232166767
nan,2360,SF,1608,40907.0,3,2,0,nan,nan,nan,nan,nan,nan,495000.0,5593.122674928194
nan,2638,CC,1972,,3,3,0,nan,nan,nan,nan,nan,nan,615900.0,5200.553690430014
The Residences at Elbow Pond,2360,SF,1746,35680.0,3,3,0,nan,nan,nan,nan,nan,nan,729000.0,
nan,2664,SF,1130,10454.0,3,2,0,nan,nan,nan,nan,nan,nan,575000.0,5471.594233332114
nan,2601,SF,1542,9148.0,4,2,0,nan,nan,nan,nan,nan,nan,650000.0,5558.224265565335
nan,2649,CC,2113,,2,3,0,nan,nan,nan,nan,nan,nan,499000.0,5035.0996708322355
nan,2540,SF,3214,55892.0,4,4,0,nan,nan,nan,nan,nan,nan,1695000.0,6128.946272432935
nan,2536,SF,1609,58070.0,3,2,0,nan,nan,nan,nan,nan,nan,600000.0,5583.646795889683
nan,2540,SF,1697,14000.0,4,2,0,nan,nan,nan,nan,nan,nan,899000.0,5615.803145102454
nan,2649,CC,1338,,2,2,0,nan,nan,nan,nan,nan,nan,515000.0,4913.809764907104
nan,2649,CC,2404,,2,4,0,nan,nan,nan,nan,nan,nan,774900.0,5000.217642022568
Captain Davis,2536,SF,3133,39204.0,5,4,0,nan,nan,nan,nan,nan,nan,1399000.0,
Quaker Farm Estate,2537,SF,3366,60113.0,5,6,0,nan,nan,nan,nan,nan,nan,1650000.0,
nan,2360,CC,568,,1,1,0,nan,nan,nan,nan,nan,nan,460000.0,3282.1014922120016
nan,2644,SF,1638,28314.0,4,2,0,nan,nan,nan,nan,nan,nan,630000.0,5614.781300221101
nan,2562,CC,2130,,2,3,0,nan,nan,nan,nan,nan,nan,675000.0,5035.0996708322355
nan,2536,SF,1352,0.0,2,3,0,nan,nan,nan,nan,nan,nan,695000.0,5047.572779077825
nan,2664,SF,1444,10890.0,3,3,0,nan,nan,nan,nan,nan,nan,774900.0,5668.145561893212
nan,2346,SF,1404,0.34,3,2,0,nan,nan,nan,nan,nan,nan,430000.0,5145.425040750947
nan,2324,SF,1762,18750.0,3,2,0,nan,nan,nan,nan,nan,nan,549000.0,5543.081511790771
nan,2571,SF,1312,5575.0,3,2,0,nan,nan,nan,nan,nan,nan,639000.0,5442.8059792865915
nan,1960,CC,2104,,2,3,0,nan,nan,nan,nan,nan,nan,620000.0,6042.488778296606
nan,2673,MF,3442,22215.0,9,5,0,nan,nan,nan,nan,nan,nan,1250000.0,6205.315820450943
nan,2537,SF,1512,34848.0,3,2,0,nan,nan,nan,nan,nan,nan,950000.0,5606.894637354379
nan,2673,SF,1810,21780.0,3,3,0,nan,nan,nan,nan,nan,nan,650000.0,5656.268662642402
nan,2601,SF,2000,10500.0,3,3,0,nan,nan,nan,nan,nan,nan,550000.0,5634.209173850288
nan,2571,SF,768,0.39,2,1,0,nan,nan,nan,nan,nan,nan,497000.0,3616.5491609986866
nan,2532,CC,1188,67.17,2,2,0,nan,nan,nan,nan,nan,nan,384000.0,4967.113952464268
nan,2379,SF,1760,95832.0,3,2,0,nan,nan,nan,nan,nan,nan,680000.0,5606.108218563466
nan,2601,SF,1300,10019.0,4,2,0,nan,nan,nan,nan,nan,nan,769000.0,5670.076643688625
nan,2642,SF,2867,20037.0,3,3,0,nan,nan,nan,nan,nan,nan,1255000.0,5691.839287987372
nan,2642,SF,598,40510.0,2,1,0,nan,nan,nan,nan,nan,nan,549000.0,3954.0115992140004
nan,2664,SF,1395,30056.0,2,1,0,nan,nan,nan,nan,nan,nan,575000.0,4132.7939374366
nan,2150,CC,410,,0,1,0,nan,nan,nan,nan,nan,nan,299950.0,2767.9192651898675
