disclosure_text,is_renovation_candidate
"Seller is unable to deliver the property in broom clean condition. They will be removing most of what is there now, but there will likely be remaining items the seller is unable to remove. Please consider the cost of a potential cleanout with all offers. This property will not qualify for FHA or VA",False
Sold AS IS,True
Buyers and Buyers Agent should verify all information contained herein.,False
Photos of completed unit. Finished basement as shown available for add'l fee. Ask for info.,False
Buyer to do due diligence and confirm accuracy of all information on this MLS listing. Agent/Broker nor seller make any guarantees or warranties. See attached Seller's Statement of property condition. Public record lists as a 3 bedroom. AC on second floor only. Solar panels leased.,False
"2 Cats on premises, please do not let out.",False
Buyer/Buyer Agent to perform due diligence. Seller & Seller's Agent make no warranties or representations. Measurements are approximate & buyer must perform due diligence. All information is subject to buyer verification. Assessment lists 1.5 baths. There is 1 full interior bath and exterior shower.,False
"1.  Systems are older, mini split in second floor area does not work well. 2. Given the seller’s current circumstances, they are unlikely to offer any repairs or improvements to the property.  3. Town records are not correct, information for a different house.",False
Buyer and buyers agent to perform their own due diligence. Seller to assume/pay outstanding special assessment at closing. Seller currently pays $87 per month for a heat charge but is reimbursed if there are overages. Furniture is negotiable.,False
"Solar PPA power purchase agreement to transfer to new buyer.  Solar agreement attached to listing. Gas stove in living room non operational.Assessed by town as a 5 bedroom home, title v shows 4 bedrooms.",False
French drain in basement,False
Sellers installed drain & sump pump in 2018 in basement & no water since then. At rear of large back yard in corner some puddling after heavy rains.  In 2008 sellers treated for powder post beetles. Lead paint test done in 2024- report attached.,False
*Seller has never lived in the property. Buyers do your own due diligence,False
"microwave is not on a dedicated outlet, basement had taken on some water due to gutters backing up. Washing machine outlet pipe needs to be adjusted. Right side yard has a right of way for utility compny to access back of property. Radon mitigation system in place",False
All measurements are approximate; buyer/buyer’s agent to perform due diligence. Agent related to seller.,False
"Flood zone-basement flooded once during current ownership, Unit 1, (2 bedroom unit), is vacant-rent was as of last tenant-tenants will be in units 2 & 3 at closing-both are TAW",False
Gas fireplace is an upgrade  MLS interior photos are from other units in Davis Manor to see finishes and styles.  Some pictures are virtually staged.  Condo fees are approximate and expected range from 480 - 625.00 to include water and sewer etc,False
Faux fire place will be removed,False
subject to satisfactory housing.,False
Ring Door Bell,False
"new hot water heater, recessed lighting ceiling/light fan fixtures.",False
All information contained herein is to the best of the agent's knowledge.The source of all representations are directly from the Seller or public source & haven't been independently verified by the agent/brokerage. It is recommended that the Buyer & Buyer's agent independently verify all information,False
Tital Five passed inspection,False
Seller is Power of Attorney and has never lived in the home,False
"Subject to sellers solidifying rental housing. Alarm system on doors and windows.Window treatments/fridge in garage staying.Propane leased by Churchill operates stove, heater in garage,gas log fireplace,+dryer.Ceiling Fan in living room as is not working. Pool table,couch, tv and mounts in bsmt stay",True
"Septic will not pass, it is a cesspool.    Showings begin at open house Saturday August 17, 2024.",False
"Information are approximate, buyers and agent are responsible for verify all information here. Sold in As-Is, As-Seen condition including personal belongings. Buyer(s) responsible for Smoke & CO compliance certificate.",False
"No ""love letters"" or escalation clauses per sellers request.  The source of all representations are from the seller or a public source; broker has not verified same. It is recommended that buyer independently verify all information",False
